,Temperature_C
1979-01-01,-7.6
1979-02-01,-7.0
1979-03-01,-4.9
1979-04-01,-1.9
1979-05-01,1.9
1979-06-01,7.6
1979-07-01,11.0
1979-08-01,9.7
1979-09-01,4.3
1979-10-01,0.6
1979-11-01,-1.9
1979-12-01,-4.69
1980-01-01,-8.6
1980-02-01,-6.1
1980-03-01,-5.9
1980-04-01,-0.3
1980-05-01,2.6
1980-06-01,8.7
1980-07-01,12.4
1980-08-01,10.9
1980-09-01,7.0
1980-10-01,0.0
1980-11-01,-5.0
1980-12-01,-8.39
1981-01-01,-7.8
1981-02-01,-5.3
1981-03-01,-9.5
1981-04-01,
1981-05-01,
1981-06-01,3.4
1981-07-01,8.9
1981-08-01,7.8
1981-09-01,6.9
1981-10-01,1.6
1981-11-01,
1981-12-01,
1982-01-01,-9.0
1982-02-01,-2.5
1982-03-01,-3.3
1982-04-01,-2.6
1982-05-01,1.3
1982-06-01,3.1
1982-07-01,8.2
1982-08-01,9.2
1982-09-01,4.7
1982-10-01,2.4
1982-11-01,-2.0
1982-12-01,-3.8
1983-01-01,-5.2
1983-02-01,-5.1
1983-03-01,-5.5
1983-04-01,0.1
1983-05-01,5.0
1983-06-01,5.5
1983-07-01,8.9
1983-08-01,6.7
1983-09-01,6.6
1983-10-01,-0.1
1983-11-01,-5.4
1983-12-01,-5.4
1984-01-01,-8.0
1984-02-01,-3.2
1984-03-01,-6.4
1984-04-01,-0.3
1984-05-01,
1984-06-01,
1984-07-01,7.6
1984-08-01,8.0
1984-09-01,5.4
1984-10-01,2.2
1984-11-01,-0.4
1984-12-01,-1.0
1985-01-01,-8.39
1985-02-01,-10.5
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,11.0
1985-08-01,10.2
1985-09-01,4.3
1985-10-01,2.3
1985-11-01,-3.4
1985-12-01,-9.39
1986-01-01,-10.8
1986-02-01,-7.0
1986-03-01,-2.3
1986-04-01,-3.2
1986-05-01,4.8
1986-06-01,8.7
1986-07-01,9.7
1986-08-01,8.9
1986-09-01,3.5
1986-10-01,2.4
1986-11-01,-0.5
1986-12-01,-8.89
1987-01-01,-9.7
1987-02-01,-10.2
1987-03-01,-6.3
1987-04-01,-1.3
1987-05-01,2.3
1987-06-01,7.0
1987-07-01,8.2
1987-08-01,7.4
1987-09-01,5.6
1987-10-01,5.4
1987-11-01,-1.7
1987-12-01,-5.9
1988-01-01,-5.0
1988-02-01,-6.3
1988-03-01,-7.0
1988-04-01,-4.5
1988-05-01,3.8
1988-06-01,7.3
1988-07-01,12.5
1988-08-01,10.3
1988-09-01,6.8
1988-10-01,1.0
1988-11-01,-3.9
1988-12-01,-5.5
1989-01-01,-1.9
1989-02-01,-3.5
1989-03-01,-2.6
1989-04-01,0.2
1989-05-01,2.5
1989-06-01,6.7
1989-07-01,7.3
1989-08-01,10.1
1989-09-01,5.7
1989-10-01,1.5
1989-11-01,-0.5
1989-12-01,-5.7
1990-01-01,-4.8
1990-02-01,-1.5
1990-03-01,-3.3
1990-04-01,
1990-05-01,
1990-06-01,
1990-07-01,
1990-08-01,
1990-09-01,
1990-10-01,
1990-11-01,
1990-12-01,
1991-01-01,
1991-02-01,
1991-03-01,
1991-04-01,
1991-05-01,
1991-06-01,
1991-07-01,
1991-08-01,
1991-09-01,
1991-10-01,2.8
1991-11-01,-0.6
1991-12-01,-2.3
1992-01-01,-3.1
1992-02-01,-4.5
1992-03-01,-2.8
1992-04-01,-4.19
1992-05-01,3.3
1992-06-01,7.5
1992-07-01,8.0
1992-08-01,8.6
1992-09-01,7.2
1992-10-01,-2.6
1992-11-01,-3.3
1992-12-01,-1.2
1993-01-01,-4.1
1993-02-01,
1993-03-01,
1993-04-01,
1993-05-01,3.2
1993-06-01,3.9
1993-07-01,10.4
1993-08-01,9.0
1993-09-01,4.8
1993-10-01,-0.3
1993-11-01,-0.3
1993-12-01,-5.5
1994-01-01,-8.5
1994-02-01,-7.1
1994-03-01,-4.1
1994-04-01,-0.2
1994-05-01,1.8
1994-06-01,5.3
1994-07-01,10.4
1994-08-01,10.1
1994-09-01,5.6
1994-10-01,0.5
1994-11-01,-2.5
1994-12-01,-1.9
1995-01-01,-5.5
1995-02-01,-4.19
1995-03-01,-3.8
1995-04-01,-3.9
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
